Team Name,Player Name,Category
Lucknow Super Giants,Mitchell Marsh,All-rounder
Lucknow Super Giants,Arshin Kulkarni,All-rounder
Lucknow Super Giants,Yuvraj Chaudhary,All-rounder
Lucknow Super Giants,Shahbaz Ahmed,All-rounder
Lucknow Super Giants,Ravi Bishnoi,Bowler
Lucknow Super Giants,Digvesh Singh,Bowler
Lucknow Super Giants,M Siddharth,Bowler
Lucknow Super Giants,Mayank Yadav,Bowler
Lucknow Super Giants,Mohsin Khan,Bowler
Lucknow Super Giants,Avesh Khan,Bowler
Lucknow Super Giants,Akash Deep,Bowler
Lucknow Super Giants,Shamar Joseph,Bowler
Lucknow Super Giants,Prince Yadav,All-rounder
Lucknow Super Giants,Rajvardhan Hangargekar,All-rounder
Lucknow Super Giants,Shardul Thakur,All-rounder
Lucknow Super Giants,Matthew Breetzke,Wicketkeeper-Batsman
Punjab Kings,Prabhsimran Singh,Wicketkeeper-Batsman
Punjab Kings,Shreyas Iyer,Batsman
Punjab Kings,Nehal Wadhera,Batsman
Punjab Kings,Azmatullah Omarzai,All-rounder
Punjab Kings,Praveen Dubey,Bowler
Punjab Kings,Josh Inglis,Wicketkeeper-Batsman
Punjab Kings,Vishnu Vinod,Wicketkeeper-Batsman
Punjab Kings,Shashank Singh,All-rounder
Punjab Kings,Aaron Hardie,All-rounder
Punjab Kings,Suryansh Shedge,All-rounder
Punjab Kings,Marcus Stoinis,All-rounder
Punjab Kings,Glenn Maxwell,All-rounder
Punjab Kings,Marco Jansen,All-rounder
Punjab Kings,Priyansh Arya,Batsman
Punjab Kings,Yuzvendra Chahal,Bowler
Punjab Kings,Harpreet Brar,All-rounder
Punjab Kings,Arshdeep Singh,Bowler
Punjab Kings,Vyshak Vijaykumar,Bowler
Punjab Kings,Yash Thakur,Bowler
Punjab Kings,Lockie Ferguson,Bowler
Punjab Kings,Kuldeep Sen,Bowler
Punjab Kings,Xavier Bartlett,Bowler
Sunrisers Hyderabad,Abhishek Sharma,All-rounder
Sunrisers Hyderabad,Travis Head,Batsman
Sunrisers Hyderabad,Atharva Taide,Batsman
Sunrisers Hyderabad,Abhinav Manohar,Batsman
Sunrisers Hyderabad,Aniket Varma,Batsman
Sunrisers Hyderabad,Sachin Baby,Batsman
Sunrisers Hyderabad,Heinrich Klaassen,Batsman/Wicketkeeper
Sunrisers Hyderabad,Ishan Kishan,Batsman/Wicketkeeper
Sunrisers Hyderabad,Nitish Kumar Reddy,All-rounder
Sunrisers Hyderabad,Harshal Patel,Bowler
Sunrisers Hyderabad,Kamindu Mendis,All-rounder
Sunrisers Hyderabad,Pat Cummins,All-rounder
Sunrisers Hyderabad,Mohammed Shami,Bowler
Sunrisers Hyderabad,Simarjeet Singh,Bowler
Sunrisers Hyderabad,Jaydev Unadkat,Bowler
Sunrisers Hyderabad,Wiaan Mulder,All-rounder
Sunrisers Hyderabad,Echan Malinga,Bowler
Sunrisers Hyderabad,Rahul Chahar,Bowler
Sunrisers Hyderabad,Adam Zampa,Bowler
Sunrisers Hyderabad,Zeeshan Ansari,All-rounder
